category,product_tier,price_band,customer_tier,market_region,optional_services,quantity,price,order_value,selected_products_count,delivery_lead_time_days,is_expedited_delivery,optional_services_count,optional_services_fee,requested_discount_percent,customer_avg_previous_discount,product_avg_previous_discount,customer_previous_transactions,tier_discount,tier_max_discount,recommended_discount_percent
SERVICES,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,5,215.85,1079.25,1,21,0,0,0.0,5.51,8.77,8.19,10,5.0,12.0,6.88
ELECTRONICS,ECONOMY,PREMIUM,GOLD,INTERNATIONAL,WHITE_GLOVE,1,499.6,499.6,1,25,0,2,294.75,12.92,13.21,7.31,8,12.0,24.0,10.39
SOFTWARE,STANDARD,HIGH,GOLD,DOMESTIC,EXTENDED_WARRANTY,100,63.19,6319.0,2,7,0,1,160.62,12.12,13.29,10.08,8,12.0,24.0,14.66
ELECTRONICS,ECONOMY,PREMIUM,PLATINUM,EUROPE,NONE,5,478.04,2390.2,1,30,0,0,0.0,14.8,15.1,10.84,6,16.0,30.0,9.4
OFFICE_SUPPLIES,STANDARD,HIGH,SILVER,EUROPE,INSTALLATION,500,55.09,27545.0,1,19,0,1,92.11,7.94,7.69,7.91,4,8.0,18.0,13.81
FURNITURE,STANDARD,PREMIUM,GOLD,EUROPE,INSTALLATION,1,489.68,489.68,2,9,0,1,248.55,14.3,10.7,5.44,11,12.0,24.0,9.73
SERVICES,ECONOMY,PREMIUM,GOLD,INTERNATIONAL,EXTENDED_WARRANTY,250,279.11,69777.5,3,23,0,1,195.89,13.23,13.25,5.67,6,12.0,24.0,20.69
SOFTWARE,STANDARD,PREMIUM,GOLD,DOMESTIC,INSTALLATION,250,183.14,45785.0,1,28,0,1,95.69,12.1,14.96,4.07,7,12.0,24.0,18.36
HARDWARE,STANDARD,PREMIUM,SILVER,EUROPE,INSTALLATION,20,169.59,3391.8,5,22,0,1,155.64,4.73,7.29,5.59,14,8.0,18.0,8.98
HARDWARE,PREMIUM,PREMIUM,STANDARD,EUROPE,INSTALLATION,5,162.46,812.3,5,22,0,1,137.37,3.35,6.67,5.75,5,5.0,12.0,5.95
FURNITURE,PREMIUM,HIGH,STANDARD,INTERNATIONAL,NONE,10,149.49,1494.9,2,17,0,0,0.0,11.99,6.28,8.86,8,5.0,12.0,4.72
SOFTWARE,STANDARD,PREMIUM,STANDARD,DOMESTIC,INSTALLATION,20,445.74,8914.8,2,7,0,1,104.81,2.55,5.55,8.8,8,5.0,12.0,9.46
ELECTRONICS,STANDARD,PREMIUM,SILVER,DOMESTIC,INSTALLATION,1,358.34,358.34,1,21,0,1,212.66,10.88,5.3,11.31,5,8.0,18.0,5.57
ELECTRONICS,PREMIUM,PREMIUM,GOLD,EUROPE,NONE,5,226.46,1132.3,2,21,0,0,0.0,10.28,11.39,7.14,6,12.0,24.0,8.02
OFFICE_SUPPLIES,STANDARD,MEDIUM,SILVER,EUROPE,INSTALLATION,20,15.21,304.2,4,27,0,1,84.77,2.63,5.04,8.87,10,8.0,18.0,11.74
OFFICE_SUPPLIES,STANDARD,PREMIUM,SILVER,DOMESTIC,NONE,20,412.69,8253.8,3,3,1,0,0.0,6.68,7.57,8.45,9,8.0,18.0,2.7
ELECTRONICS,STANDARD,PREMIUM,GOLD,DOMESTIC,TRAINING_AND_SUPPORT,2,351.33,702.66,1,3,1,1,190.89,11.44,7.71,11.98,8,12.0,24.0,1.0
HARDWARE,ENTERPRISE,PREMIUM,GOLD,INTERNATIONAL,NONE,10,340.99,3409.9,1,11,0,0,0.0,12.59,10.5,3.78,3,12.0,24.0,8.53
SERVICES,PREMIUM,PREMIUM,SILVER,EUROPE,NONE,50,263.18,13159.0,2,14,0,0,0.0,7.11,9.48,7.07,5,8.0,18.0,11.8
HARDWARE,ECONOMY,PREMIUM,SILVER,DOMESTIC,EXTENDED_WARRANTY,1,471.23,471.23,2,14,0,1,53.4,9.87,7.44,10.37,6,8.0,18.0,6.21
OFFICE_SUPPLIES,STANDARD,PREMIUM,PLATINUM,DOMESTIC,NONE,500,201.62,100810.0,5,15,0,0,0.0,15.48,14.93,4.17,5,16.0,30.0,17.27
FURNITURE,STANDARD,PREMIUM,GOLD,DOMESTIC,EXTENDED_WARRANTY,10,492.53,4925.3,3,12,0,1,150.66,13.2,11.33,8.42,2,12.0,24.0,6.54
ELECTRONICS,STANDARD,PREMIUM,GOLD,EUROPE,EXTENDED_WARRANTY,2,336.83,673.66,1,3,1,1,163.45,13.29,10.89,6.59,9,12.0,24.0,1.98
OFFICE_SUPPLIES,PREMIUM,HIGH,GOLD,EUROPE,NONE,2,118.14,236.28,1,15,0,0,0.0,9.76,13.86,6.69,12,12.0,24.0,12.08
OFFICE_SUPPLIES,PREMIUM,PREMIUM,PLATINUM,EUROPE,NONE,1,161.47,161.47,2,2,1,0,0.0,16.4,18.07,7.96,10,16.0,30.0,9.66
SERVICES,STANDARD,PREMIUM,SILVER,INTERNATIONAL,NONE,250,482.41,120602.5,2,3,1,0,0.0,10.08,8.9,6.63,5,8.0,18.0,7.1
ELECTRONICS,PREMIUM,HIGH,GOLD,DOMESTIC,WHITE_GLOVE,100,133.93,13393.0,1,22,0,2,196.53,15.41,11.82,8.47,5,12.0,24.0,16.32
SERVICES,ENTERPRISE,HIGH,GOLD,EUROPE,INSTALLATION,5,141.29,706.45,1,6,0,1,82.14,16.46,13.62,9.39,8,12.0,24.0,7.83
ELECTRONICS,STANDARD,PREMIUM,SILVER,EUROPE,NONE,10,295.3,2953.0,1,7,0,0,0.0,7.41,6.13,8.51,8,8.0,18.0,1.0
SERVICES,PREMIUM,PREMIUM,PLATINUM,DOMESTIC,INSTALLATION,20,467.66,9353.2,4,20,0,1,190.23,16.53,18.88,6.82,8,16.0,30.0,18.97
HARDWARE,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,10,358.55,3585.5,3,29,0,1,201.97,2.64,9.48,7.23,8,5.0,12.0,1.0
FURNITURE,ECONOMY,PREMIUM,STANDARD,DOMESTIC,NONE,5,319.53,1597.65,2,11,0,0,0.0,4.06,2.0,8.37,10,5.0,12.0,2.24
FURNITURE,STANDARD,PREMIUM,SILVER,EUROPE,PREMIUM_SLA,5,201.77,1008.85,5,21,0,2,356.88,12.11,7.83,7.52,5,8.0,18.0,9.23
ELECTRONICS,PREMIUM,HIGH,STANDARD,DOMESTIC,TRAINING_AND_SUPPORT,1,56.55,56.55,2,9,0,1,226.53,4.68,7.8,6.46,9,5.0,12.0,1.19
SOFTWARE,STANDARD,HIGH,STANDARD,INTERNATIONAL,INSTALLATION,1,87.57,87.57,3,15,0,1,200.73,0.66,2.0,7.41,6,5.0,12.0,6.37
INDUSTRIAL,STANDARD,PREMIUM,PLATINUM,INTERNATIONAL,NONE,1,223.92,223.92,2,18,0,0,0.0,20.95,17.95,8.43,5,16.0,30.0,14.06
OFFICE_SUPPLIES,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,1,435.01,435.01,2,27,0,0,0.0,0.0,9.08,10.28,4,5.0,12.0,6.46
OFFICE_SUPPLIES,PREMIUM,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,10,259.82,2598.2,1,1,1,1,204.08,4.64,9.45,8.64,3,5.0,12.0,4.36
ELECTRONICS,STANDARD,PREMIUM,SILVER,INTERNATIONAL,TRAINING_AND_SUPPORT,1,343.89,343.89,2,27,0,1,235.94,3.08,7.26,6.13,10,8.0,18.0,3.22
SERVICES,STANDARD,MEDIUM,GOLD,EUROPE,EXTENDED_WARRANTY,100,34.29,3429.0,1,18,0,1,247.82,12.03,10.93,7.41,14,12.0,24.0,15.08
SOFTWARE,STANDARD,PREMIUM,STANDARD,INTERNATIONAL,WHITE_GLOVE,5,481.94,2409.7,2,20,0,2,481.51,5.91,6.28,11.02,6,5.0,12.0,10.99
HARDWARE,ENTERPRISE,PREMIUM,SILVER,DOMESTIC,WHITE_GLOVE,10,332.02,3320.2,1,2,1,2,144.42,4.67,5.88,8.7,6,8.0,18.0,7.13
SERVICES,STANDARD,PREMIUM,STANDARD,INTERNATIONAL,PREMIUM_SLA,2,409.49,818.98,2,8,0,2,454.32,3.25,4.9,7.07,5,5.0,12.0,11.7
SERVICES,ENTERPRISE,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,50,347.01,17350.5,2,13,0,1,81.86,3.06,4.59,9.24,12,5.0,12.0,7.18
ELECTRONICS,STANDARD,PREMIUM,PLATINUM,DOMESTIC,EXTENDED_WARRANTY,250,251.51,62877.5,1,14,0,1,199.42,11.46,13.79,8.09,7,16.0,30.0,12.52
ELECTRONICS,PREMIUM,HIGH,GOLD,DOMESTIC,INSTALLATION,50,91.07,4553.5,2,15,0,1,64.24,16.42,14.72,9.35,7,12.0,24.0,13.36
OFFICE_SUPPLIES,ECONOMY,PREMIUM,GOLD,DOMESTIC,EXTENDED_WARRANTY,500,275.6,137800.0,2,25,0,1,114.54,14.64,14.05,6.46,7,12.0,24.0,14.2
ELECTRONICS,ENTERPRISE,PREMIUM,GOLD,INTERNATIONAL,NONE,5,180.01,900.05,2,7,0,0,0.0,8.76,11.41,9.28,10,12.0,24.0,5.22
ELECTRONICS,STANDARD,PREMIUM,SILVER,INTERNATIONAL,NONE,1,431.77,431.77,1,2,1,0,0.0,12.01,12.08,9.36,13,8.0,18.0,1.63
ELECTRONICS,PREMIUM,PREMIUM,STANDARD,DOMESTIC,INSTALLATION,10,294.34,2943.4,3,30,0,1,107.1,3.45,4.83,8.04,4,5.0,12.0,4.57
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,STANDARD,EUROPE,INSTALLATION,10,473.38,4733.8,1,26,0,1,221.18,0.0,6.37,5.82,6,5.0,12.0,7.84
HARDWARE,ENTERPRISE,PREMIUM,SILVER,EUROPE,EXTENDED_WARRANTY,1,413.03,413.03,1,20,0,1,73.77,8.8,7.29,11.41,7,8.0,18.0,2.27
HARDWARE,STANDARD,PREMIUM,SILVER,INTERNATIONAL,TRAINING_AND_SUPPORT,100,371.02,37102.0,1,15,0,1,175.75,1.75,9.27,5.98,7,8.0,18.0,11.26
INDUSTRIAL,ENTERPRISE,PREMIUM,PLATINUM,INTERNATIONAL,NONE,2,265.04,530.08,2,6,0,0,0.0,22.45,19.36,9.52,8,16.0,30.0,12.22
INDUSTRIAL,ENTERPRISE,PREMIUM,SILVER,EUROPE,NONE,5,319.67,1598.35,2,1,1,0,0.0,6.65,8.15,8.23,16,8.0,18.0,4.3
ELECTRONICS,STANDARD,PREMIUM,PLATINUM,EUROPE,EXTENDED_WARRANTY,10,421.32,4213.2,3,10,0,1,164.99,18.99,16.5,5.52,3,16.0,30.0,11.22
INDUSTRIAL,STANDARD,HIGH,PLATINUM,DOMESTIC,NONE,2,95.14,190.28,2,21,0,0,0.0,16.15,14.3,9.49,6,16.0,30.0,13.44
OFFICE_SUPPLIES,ECONOMY,PREMIUM,GOLD,DOMESTIC,NONE,1,269.88,269.88,5,29,0,0,0.0,13.46,11.33,8.23,8,12.0,24.0,6.01
HARDWARE,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,5,377.9,1889.5,1,26,0,1,208.09,5.62,3.26,7.17,8,5.0,12.0,9.62
SERVICES,ECONOMY,HIGH,GOLD,DOMESTIC,NONE,10,109.53,1095.3,1,7,0,0,0.0,11.66,15.46,5.91,6,12.0,24.0,11.48
HARDWARE,PREMIUM,PREMIUM,SILVER,DOMESTIC,WHITE_GLOVE,1,449.31,449.31,1,5,0,2,375.53,7.18,6.0,6.55,10,8.0,18.0,9.74
HARDWARE,PREMIUM,LOW,STANDARD,DOMESTIC,WHITE_GLOVE,20,5.98,119.6,2,24,0,2,290.1,7.61,5.4,7.1,7,5.0,12.0,10.44
OFFICE_SUPPLIES,STANDARD,HIGH,STANDARD,DOMESTIC,NONE,2,144.39,288.78,1,1,1,0,0.0,0.0,4.31,8.59,7,5.0,12.0,1.81
INDUSTRIAL,STANDARD,HIGH,STANDARD,INTERNATIONAL,EXTENDED_WARRANTY,10,147.66,1476.6,2,12,0,1,51.05,4.81,3.23,9.0,3,5.0,12.0,12.0
SERVICES,ECONOMY,PREMIUM,STANDARD,DOMESTIC,TRAINING_AND_SUPPORT,10,369.87,3698.7,1,19,0,1,191.43,7.39,4.76,9.05,5,5.0,12.0,5.76
OFFICE_SUPPLIES,PREMIUM,PREMIUM,SILVER,EUROPE,EXTENDED_WARRANTY,2,220.35,440.7,4,30,0,1,138.22,5.59,4.39,8.78,7,8.0,18.0,5.89
ELECTRONICS,PREMIUM,PREMIUM,PLATINUM,DOMESTIC,EXTENDED_WARRANTY,1,448.35,448.35,2,18,0,1,52.26,21.51,17.74,7.22,8,16.0,30.0,11.44
FURNITURE,ECONOMY,PREMIUM,STANDARD,DOMESTIC,NONE,1,224.1,224.1,2,11,0,0,0.0,1.11,3.57,7.05,5,5.0,12.0,3.38
HARDWARE,STANDARD,HIGH,SILVER,EUROPE,TRAINING_AND_SUPPORT,2,118.5,237.0,2,20,0,1,200.55,12.28,4.68,6.69,12,8.0,18.0,3.09
FURNITURE,STANDARD,MEDIUM,SILVER,DOMESTIC,INSTALLATION,5,49.64,248.2,4,27,0,1,163.0,4.5,8.27,6.81,8,8.0,18.0,8.99
OFFICE_SUPPLIES,ECONOMY,PREMIUM,STANDARD,DOMESTIC,TRAINING_AND_SUPPORT,5,360.12,1800.6,1,7,0,1,61.81,5.25,5.43,8.7,6,5.0,12.0,4.74
OFFICE_SUPPLIES,STANDARD,PREMIUM,GOLD,DOMESTIC,PREMIUM_SLA,10,357.04,3570.4,3,6,0,2,117.57,9.98,11.08,9.89,5,12.0,24.0,14.03
OFFICE_SUPPLIES,PREMIUM,PREMIUM,SILVER,DOMESTIC,INSTALLATION,250,356.14,89035.0,3,10,0,1,69.52,3.87,7.37,9.62,8,8.0,18.0,8.46
FURNITURE,PREMIUM,PREMIUM,PLATINUM,DOMESTIC,EXTENDED_WARRANTY,2,469.31,938.62,2,16,0,1,215.99,14.39,17.6,9.04,12,16.0,30.0,12.71
OFFICE_SUPPLIES,ENTERPRISE,PREMIUM,GOLD,DOMESTIC,NONE,1,265.9,265.9,1,23,0,0,0.0,12.83,11.63,5.19,12,12.0,24.0,10.23
ELECTRONICS,STANDARD,PREMIUM,STANDARD,DOMESTIC,WHITE_GLOVE,250,179.66,44915.0,2,18,0,2,113.73,0.73,5.11,4.45,10,5.0,12.0,8.95
OFFICE_SUPPLIES,STANDARD,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,100,326.58,32658.0,1,8,0,1,150.37,6.61,2.0,10.39,7,5.0,12.0,7.61
SOFTWARE,ENTERPRISE,HIGH,SILVER,EUROPE,WHITE_GLOVE,500,121.65,60825.0,2,28,0,2,296.15,10.87,7.63,8.07,8,8.0,18.0,18.0
INDUSTRIAL,ECONOMY,MEDIUM,STANDARD,DOMESTIC,INSTALLATION,50,15.35,767.5,2,21,0,1,140.36,2.76,4.15,7.4,3,5.0,12.0,8.63
FURNITURE,STANDARD,PREMIUM,STANDARD,DOMESTIC,NONE,20,455.34,9106.8,2,29,0,0,0.0,5.86,2.67,9.19,6,5.0,12.0,6.21
SOFTWARE,STANDARD,PREMIUM,GOLD,EUROPE,NONE,250,311.66,77915.0,3,29,0,0,0.0,8.59,12.52,5.0,7,12.0,24.0,16.34
OFFICE_SUPPLIES,STANDARD,HIGH,STANDARD,EUROPE,WHITE_GLOVE,10,50.7,507.0,1,9,0,2,467.81,0.41,3.91,6.16,8,5.0,12.0,8.38
ELECTRONICS,PREMIUM,PREMIUM,SILVER,DOMESTIC,INSTALLATION,50,230.35,11517.5,1,13,0,1,227.84,6.25,3.98,8.54,6,8.0,18.0,8.03
HARDWARE,STANDARD,HIGH,STANDARD,DOMESTIC,EXTENDED_WARRANTY,2,68.22,136.44,3,11,0,1,86.7,5.9,6.33,6.27,6,5.0,12.0,3.22
SERVICES,PREMIUM,PREMIUM,STANDARD,DOMESTIC,PREMIUM_SLA,2,420.84,841.68,1,29,0,2,307.73,9.7,4.69,4.44,8,5.0,12.0,8.47
INDUSTRIAL,STANDARD,MEDIUM,PLATINUM,DOMESTIC,NONE,1,38.94,38.94,1,14,0,0,0.0,12.4,12.09,7.95,12,16.0,30.0,9.19
SERVICES,PREMIUM,PREMIUM,GOLD,DOMESTIC,PREMIUM_SLA,1,250.3,250.3,2,21,0,2,185.65,9.85,12.99,9.05,10,12.0,24.0,14.58
OFFICE_SUPPLIES,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,250,498.08,124520.0,1,16,0,0,0.0,3.71,3.59,8.23,4,5.0,12.0,9.08
INDUSTRIAL,STANDARD,PREMIUM,GOLD,DOMESTIC,NONE,2,158.09,316.18,1,8,0,0,0.0,14.3,9.62,6.38,5,12.0,24.0,11.58
INDUSTRIAL,ECONOMY,HIGH,STANDARD,EUROPE,INSTALLATION,10,118.04,1180.4,2,5,0,1,210.82,5.85,5.43,8.07,6,5.0,12.0,6.2
ELECTRONICS,PREMIUM,PREMIUM,STANDARD,INTERNATIONAL,WHITE_GLOVE,2,205.61,411.22,4,18,0,2,219.55,2.82,2.0,6.58,10,5.0,12.0,9.83
INDUSTRIAL,ECONOMY,PREMIUM,STANDARD,DOMESTIC,WHITE_GLOVE,5,474.21,2371.05,5,14,0,2,338.69,1.97,2.89,5.12,5,5.0,12.0,10.77
FURNITURE,STANDARD,PREMIUM,SILVER,EUROPE,INSTALLATION,5,332.97,1664.85,3,4,0,1,249.44,10.63,8.94,8.15,8,8.0,18.0,6.35
SOFTWARE,PREMIUM,PREMIUM,SILVER,EUROPE,EXTENDED_WARRANTY,20,323.59,6471.8,1,30,0,1,244.74,10.72,7.28,11.08,8,8.0,18.0,13.1
SOFTWARE,ECONOMY,HIGH,STANDARD,DOMESTIC,NONE,500,61.4,30700.0,2,29,0,0,0.0,0.35,6.0,6.42,5,5.0,12.0,12.0
SOFTWARE,PREMIUM,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,2,284.1,568.2,1,11,0,1,185.06,7.86,4.51,11.35,7,5.0,12.0,6.95
FURNITURE,ECONOMY,LOW,STANDARD,EUROPE,NONE,20,13.9,278.0,3,24,0,0,0.0,4.79,5.17,5.24,9,5.0,12.0,3.37
SERVICES,ENTERPRISE,PREMIUM,SILVER,DOMESTIC,NONE,100,221.99,22199.0,3,9,0,0,0.0,7.57,9.15,7.15,9,8.0,18.0,11.8
ELECTRONICS,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,1,447.64,447.64,2,25,0,1,182.06,5.55,6.57,6.17,3,5.0,12.0,5.18
INDUSTRIAL,PREMIUM,HIGH,SILVER,DOMESTIC,NONE,1,69.21,69.21,3,30,0,0,0.0,9.35,5.47,2.96,9,8.0,18.0,7.14
FURNITURE,STANDARD,PREMIUM,STANDARD,EUROPE,NONE,100,372.61,37261.0,2,4,0,0,0.0,0.0,4.9,6.93,12,5.0,12.0,3.0
SOFTWARE,STANDARD,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,1,374.28,374.28,5,4,0,1,216.12,11.74,5.38,8.03,10,5.0,12.0,6.79
OFFICE_SUPPLIES,ENTERPRISE,HIGH,GOLD,INTERNATIONAL,NONE,10,62.57,625.7,2,24,0,0,0.0,14.73,13.8,8.88,6,12.0,24.0,8.6
HARDWARE,PREMIUM,PREMIUM,STANDARD,DOMESTIC,WHITE_GLOVE,2,458.86,917.72,4,27,0,2,285.31,5.2,2.0,11.42,3,5.0,12.0,6.06
INDUSTRIAL,STANDARD,PREMIUM,PLATINUM,INTERNATIONAL,NONE,10,216.07,2160.7,2,26,0,0,0.0,12.94,15.48,10.14,5,16.0,30.0,9.69
FURNITURE,PREMIUM,HIGH,STANDARD,INTERNATIONAL,EXTENDED_WARRANTY,500,131.22,65610.0,3,19,0,1,149.2,0.59,5.27,8.75,5,5.0,12.0,5.14
FURNITURE,STANDARD,HIGH,SILVER,INTERNATIONAL,NONE,100,110.31,11031.0,1,29,0,0,0.0,12.48,9.19,11.15,5,8.0,18.0,9.12
ELECTRONICS,STANDARD,HIGH,STANDARD,DOMESTIC,NONE,500,147.05,73525.0,2,27,0,0,0.0,5.27,4.85,6.74,13,5.0,12.0,9.91
ELECTRONICS,STANDARD,HIGH,SILVER,EUROPE,EXTENDED_WARRANTY,2,73.33,146.66,2,4,0,1,156.87,9.91,8.38,7.54,5,8.0,18.0,3.27
FURNITURE,PREMIUM,MEDIUM,GOLD,DOMESTIC,NONE,10,21.06,210.6,2,30,0,0,0.0,13.78,12.76,8.88,3,12.0,24.0,13.57
SOFTWARE,ECONOMY,HIGH,PLATINUM,DOMESTIC,NONE,5,146.86,734.3,1,22,0,0,0.0,14.29,14.95,8.48,8,16.0,30.0,17.28
HARDWARE,ENTERPRISE,PREMIUM,GOLD,INTERNATIONAL,INSTALLATION,1,245.61,245.61,2,9,0,1,176.98,12.15,14.14,6.94,8,12.0,24.0,9.86
INDUSTRIAL,ECONOMY,PREMIUM,STANDARD,INTERNATIONAL,INSTALLATION,100,405.51,40551.0,1,3,1,1,188.5,3.66,2.96,8.64,5,5.0,12.0,8.86
ELECTRONICS,STANDARD,PREMIUM,SILVER,DOMESTIC,PREMIUM_SLA,5,442.81,2214.05,5,29,0,2,316.17,10.5,8.21,8.41,8,8.0,18.0,8.68
INDUSTRIAL,STANDARD,PREMIUM,SILVER,DOMESTIC,NONE,1000,220.52,220520.0,2,27,0,0,0.0,9.53,3.79,5.11,10,8.0,18.0,9.9
SOFTWARE,ECONOMY,PREMIUM,STANDARD,DOMESTIC,NONE,10,260.97,2609.7,1,25,0,0,0.0,3.89,9.19,8.43,7,5.0,12.0,11.17
INDUSTRIAL,STANDARD,PREMIUM,STANDARD,DOMESTIC,EXTENDED_WARRANTY,50,216.3,10815.0,1,20,0,1,178.65,4.03,5.62,9.26,9,5.0,12.0,12.0
OFFICE_SUPPLIES,ECONOMY,HIGH,STANDARD,INTERNATIONAL,NONE,20,144.08,2881.6,2,5,0,0,0.0,7.01,4.17,8.9,8,5.0,12.0,1.24
ELECTRONICS,STANDARD,PREMIUM,GOLD,EUROPE,EXTENDED_WARRANTY,10,199.5,1995.0,2,4,0,1,69.6,8.66,11.35,8.19,11,12.0,24.0,9.44
SOFTWARE,ECONOMY,PREMIUM,STANDARD,EUROPE,WHITE_GLOVE,2,342.04,684.08,3,20,0,2,439.63,7.0,4.76,12.53,8,5.0,12.0,11.64
SOFTWARE,ECONOMY,HIGH,GOLD,DOMESTIC,NONE,5,109.51,547.55,3,10,0,0,0.0,10.21,11.54,8.4,8,12.0,24.0,11.76
HARDWARE,STANDARD,MEDIUM,SILVER,EUROPE,WHITE_GLOVE,250,29.55,7387.5,1,21,0,2,155.4,11.84,7.81,8.06,11,8.0,18.0,13.46
HARDWARE,ENTERPRISE,PREMIUM,SILVER,EUROPE,INSTALLATION,50,248.48,12424.0,1,16,0,1,64.45,9.47,6.99,12.32,12,8.0,18.0,8.39
OFFICE_SUPPLIES,PREMIUM,MEDIUM,SILVER,DOMESTIC,NONE,250,47.82,11955.0,1,15,0,0,0.0,16.72,9.82,7.94,7,8.0,18.0,12.01
SOFTWARE,STANDARD,PREMIUM,STANDARD,EUROPE,EXTENDED_WARRANTY,250,235.44,58860.0,1,6,0,1,227.73,6.06,6.84,6.75,9,5.0,12.0,11.29
SERVICES,STANDARD,HIGH,PLATINUM,DOMESTIC,PREMIUM_SLA,10,91.94,919.4,2,14,0,2,252.89,15.78,14.68,7.02,5,16.0,30.0,18.3
SOFTWARE,STANDARD,PREMIUM,STANDARD,EUROPE,INSTALLATION,2,404.23,808.46,2,29,0,1,220.43,0.77,3.56,8.25,8,5.0,12.0,12.0
HARDWARE,ECONOMY,PREMIUM,GOLD,DOMESTIC,NONE,20,377.36,7547.2,3,23,0,0,0.0,13.27,6.28,8.77,8,12.0,24.0,10.07
SERVICES,STANDARD,PREMIUM,SILVER,INTERNATIONAL,EXTENDED_WARRANTY,250,490.4,122600.0,1,30,0,1,104.33,7.12,7.42,7.12,12,8.0,18.0,16.6
ELECTRONICS,STANDARD,PREMIUM,GOLD,EUROPE,PREMIUM_SLA,2,348.57,697.14,1,1,1,2,236.01,6.18,10.57,9.42,8,12.0,24.0,2.36
ELECTRONICS,ENTERPRISE,PREMIUM,GOLD,EUROPE,NONE,50,155.06,7753.0,1,7,0,0,0.0,13.51,8.0,10.02,10,12.0,24.0,6.25
INDUSTRIAL,PREMIUM,PREMIUM,STANDARD,EUROPE,WHITE_GLOVE,5,359.28,1796.4,1,10,0,2,137.87,0.0,5.26,5.88,6,5.0,12.0,7.53
FURNITURE,ENTERPRISE,PREMIUM,SILVER,EUROPE,INSTALLATION,1,412.14,412.14,2,10,0,1,145.11,7.47,7.23,8.28,8,8.0,18.0,7.14
HARDWARE,ECONOMY,PREMIUM,GOLD,DOMESTIC,NONE,2,345.15,690.3,5,22,0,0,0.0,10.87,11.77,11.0,4,12.0,24.0,6.06
FURNITURE,ENTERPRISE,PREMIUM,PLATINUM,EUROPE,INSTALLATION,5,160.73,803.65,1,28,0,1,212.49,14.89,13.62,6.83,7,16.0,30.0,15.1
SERVICES,ENTERPRISE,HIGH,GOLD,DOMESTIC,NONE,10,63.79,637.9,1,22,0,0,0.0,15.73,13.02,6.65,6,12.0,24.0,11.33
HARDWARE,STANDARD,MEDIUM,PLATINUM,DOMESTIC,TRAINING_AND_SUPPORT,1,27.35,27.35,2,18,0,1,219.66,15.27,14.68,5.96,8,16.0,30.0,14.28
OFFICE_SUPPLIES,ECONOMY,PREMIUM,GOLD,EUROPE,NONE,10,168.21,1682.1,2,1,1,0,0.0,7.91,14.25,6.16,8,12.0,24.0,6.36
SOFTWARE,STANDARD,HIGH,GOLD,INTERNATIONAL,WHITE_GLOVE,100,82.81,8281.0,2,21,0,2,378.27,17.35,14.08,5.94,10,12.0,24.0,20.14
OFFICE_SUPPLIES,PREMIUM,PREMIUM,PLATINUM,EUROPE,TRAINING_AND_SUPPORT,20,473.26,9465.2,4,28,0,1,238.46,17.74,15.58,9.3,11,16.0,30.0,21.06
SERVICES,STANDARD,PREMIUM,SILVER,INTERNATIONAL,INSTALLATION,50,309.89,15494.5,2,14,0,1,244.17,11.52,9.29,7.79,6,8.0,18.0,11.34
HARDWARE,PREMIUM,PREMIUM,GOLD,DOMESTIC,NONE,250,276.38,69095.0,2,15,0,0,0.0,7.91,12.8,7.1,7,12.0,24.0,11.16
SERVICES,PREMIUM,PREMIUM,STANDARD,DOMESTIC,NONE,50,287.19,14359.5,1,27,0,0,0.0,5.56,7.03,6.74,7,5.0,12.0,10.68
SOFTWARE,STANDARD,PREMIUM,STANDARD,DOMESTIC,NONE,20,338.37,6767.4,1,15,0,0,0.0,7.24,6.1,9.73,14,5.0,12.0,11.62
ELECTRONICS,STANDARD,PREMIUM,GOLD,DOMESTIC,EXTENDED_WARRANTY,2,494.53,989.06,4,10,0,1,67.16,12.11,12.3,9.19,8,12.0,24.0,9.16
ELECTRONICS,STANDARD,HIGH,PLATINUM,DOMESTIC,INSTALLATION,10,141.9,1419.0,2,1,1,1,76.61,16.93,16.02,10.18,5,16.0,30.0,6.98
SERVICES,ENTERPRISE,PREMIUM,STANDARD,DOMESTIC,NONE,50,442.17,22108.5,3,13,0,0,0.0,3.25,3.5,6.25,8,5.0,12.0,6.82
FURNITURE,ECONOMY,PREMIUM,SILVER,EUROPE,NONE,1000,335.98,335980.0,2,9,0,0,0.0,8.47,6.13,8.25,8,8.0,18.0,11.69
HARDWARE,ENTERPRISE,PREMIUM,GOLD,INTERNATIONAL,INSTALLATION,1,197.11,197.11,1,16,0,1,73.18,17.2,10.47,5.43,7,12.0,24.0,12.97
